customerID,MonthlyCharges,TotalCharges,genero_bi,es_adultoMayor,pareja_bi,dependiente_bi,tiempo_servicio_bi,Multiple_lineas_bi,InternetService_bi,Servicio_Telefonico_bi,proteccion_equipo_bi,Respaldo_info_bi,Soporte_tecnico_bi,Streaming_bi,streaming_peliculas_bi,contrato_bi,Faturacion_electronica_bi,FormaPago_bi,Churn_bi
6827-IEAUQ,66.15,1874.45,Femenino,No,Si,Si,25-36,No,DSL,Si,Si,Si,Si,No,No,Dos Años,No,Cheque por Correo,Clientes Retenidos
7310-EGVHZ,20.2,20.2,Masculino,No,No,No,1-6,No,No tiene Servicio Internet,Si,Sin Servicio Internet,Sin Servicio Internet,Sin Servicio Internet,Sin Servicio Internet,Sin Servicio Internet,Mes a Mes,No,Transferencia Bancaria,Clientes Retenidos
3413-BMNZE,45.25,45.25,Masculino,Si,No,No,1-6,No,DSL,Si,No,No,No,No,No,Mes a Mes,No,Transferencia Bancaria,Clientes Retenidos
6234-RAAPL,99.9,7251.7,Femenino,No,Si,Si,> 60,Si,Fibra Optica,Si,No,Si,Si,Si,No,Un Año,No,Transferencia Bancaria,Clientes Retenidos
6047-YHPVI,69.7,316.9,Masculino,No,No,No,1-6,No,Fibra Optica,Si,No,No,No,No,No,Mes a Mes,Si,Cheque Electronico,Clientes No Retenidos
6572-ADKRS,74.8,3548.3,Femenino,No,No,No,37-48,No,Fibra Optica,Si,Si,No,No,No,No,Mes a Mes,Si,Tarjeta de Credito,Clientes Retenidos
5380-WJKOV,106.35,3549.25,Masculino,No,No,No,25-36,Si,Fibra Optica,Si,Si,Si,No,Si,Si,Mes a Mes,Si,Cheque Electronico,Clientes No Retenidos
8168-UQWWF,97.85,1105.4,Femenino,No,No,No,7-12,Si,Fibra Optica,Si,Si,No,No,Si,Si,Mes a Mes,Si,Transferencia Bancaria,Clientes No Retenidos
8865-TNMNX,49.55,475.7,Masculino,No,Si,Si,7-12,No,DSL,Si,No,Si,No,No,No,Dos Años,No,Cheque por Correo,Clientes Retenidos
9489-DEDVP,69.2,4872.35,Femenino,No,Si,Si,> 60,Si,DSL,Si,No,Si,No,Si,No,Un Año,Si,Tarjeta de Credito,Clientes Retenidos
9867-JCZSP,20.75,418.25,Femenino,No,Si,Si,13-24,No,No tiene Servicio Internet,Si,Sin Servicio Internet,Sin Servicio Internet,Sin Servicio Internet,Sin Servicio Internet,Sin Servicio Internet,Dos Años,No,Cheque por Correo,Clientes Retenidos
4671-VJLCL,79.85,4861.45,Femenino,No,No,No,> 60,Si,DSL,Si,Si,Si,Si,Si,No,Un Año,Si,Tarjeta de Credito,Clientes Retenidos
4080-IIARD,76.2,981.45,Femenino,No,Si,No,13-24,Si,DSL,Si,No,Si,Si,Si,No,Mes a Mes,Si,Cheque Electronico,Clientes Retenidos
3714-NTNFO,84.5,3906.7,Femenino,No,No,No,49-60,Si,Fibra Optica,Si,No,No,No,No,Si,Mes a Mes,Si,Cheque Electronico,Clientes Retenidos
5948-UJZLF,49.25,97,Masculino,No,No,No,1-6,No,DSL,Si,No,Si,No,No,No,Mes a Mes,No,Cheque por Correo,Clientes Retenidos
7760-OYPDY,80.65,144.15,Femenino,No,No,No,1-6,No,Fibra Optica,Si,No,No,No,Si,No,Mes a Mes,Si,Cheque Electronico,Clientes No Retenidos
7639-LIAYI,79.75,4217.8,Masculino,No,No,No,49-60,Si,DSL,Si,No,No,Si,Si,Si,Un Año,Si,Tarjeta de Credito,Clientes Retenidos
2954-PIBKO,64.15,4254.1,Femenino,No,Si,Si,> 60,Si,DSL,Si,Si,No,Si,No,No,Un Año,Si,Tarjeta de Credito,Clientes Retenidos
8012-SOUDQ,90.25,3838.75,Femenino,Si,No,No,37-48,Si,Fibra Optica,Si,No,Si,No,Si,No,Mes a Mes,Si,Cheque Electronico,Clientes Retenidos
9420-LOJKX,99.1,1426.4,Femenino,No,No,No,13-24,No,Fibra Optica,Si,No,Si,No,Si,Si,Mes a Mes,Si,Tarjeta de Credito,Clientes No Retenidos
6575-SUVOI,69.5,1752.65,Femenino,Si,Si,No,25-36,Si,DSL,Si,No,No,Si,Si,No,Mes a Mes,Si,Tarjeta de Credito,Clientes Retenidos
7495-OOKFY,80.65,633.3,Femenino,Si,Si,No,7-12,Si,Fibra Optica,Si,No,Si,No,No,No,Mes a Mes,Si,Tarjeta de Credito,Clientes No Retenidos
4667-QONEA,74.85,4456.35,Femenino,Si,Si,Si,49-60,No,DSL,Si,Si,Si,Si,No,Si,Dos Años,Si,Tarjeta de Credito,Clientes Retenidos
1658-BYGOY,95.45,1752.55,Masculino,Si,No,No,13-24,Si,Fibra Optica,Si,No,No,No,Si,Si,Mes a Mes,Si,Cheque Electronico,Clientes No Retenidos
8769-KKTPH,99.65,6311.2,Femenino,No,Si,Si,> 60,Si,Fibra Optica,Si,No,No,No,Si,Si,Dos Años,Si,Tarjeta de Credito,Clientes Retenidos
5067-XJQFU,108.45,7076.35,Masculino,Si,Si,Si,> 60,Si,Fibra Optica,Si,Si,Si,Si,Si,Si,Dos Años,Si,Cheque Electronico,Clientes Retenidos
3957-SQXML,24.95,894.3,Femenino,No,Si,Si,25-36,Si,No tiene Servicio Internet,Si,Sin Servicio Internet,Sin Servicio Internet,Sin Servicio Internet,Sin Servicio Internet,Sin Servicio Internet,Un Año,No,Tarjeta de Credito,Clientes Retenidos
5954-BDFSG,107.5,7853.7,Femenino,No,No,No,> 60,Si,Fibra Optica,Si,Si,No,Si,Si,Si,Un Año,Si,Tarjeta de Credito,Clientes Retenidos
0434-CSFON,100.5,4707.1,Femenino,No,Si,No,37-48,Si,Fibra Optica,Si,Si,No,No,Si,Si,Mes a Mes,Si,Cheque Electronico,Clientes Retenidos
1215-FIGMP,89.9,5450.7,Masculino,No,No,No,49-60,Si,Fibra Optica,Si,No,Si,No,Si,No,Mes a Mes,Si,Transferencia Bancaria,Clientes Retenidos
0526-SXDJP,42.1,2962,Masculino,No,Si,No,> 60,Sin Servicio Telefonico,DSL,No,Si,Si,No,No,No,Un Año,No,Transferencia Bancaria,Clientes Retenidos
0557-ASKVU,54.4,957.1,Femenino,No,Si,Si,13-24,No,DSL,Si,Si,No,Si,No,No,Dos Años,Si,Tarjeta de Credito,Clientes Retenidos
5698-BQJOH,94.4,857.25,Femenino,No,No,No,7-12,Si,Fibra Optica,Si,No,No,No,Si,Si,Mes a Mes,No,Cheque Electronico,Clientes No Retenidos
5122-CYFXA,75.3,244.1,Femenino,No,No,No,1-6,No,DSL,Si,No,Si,Si,Si,Si,Mes a Mes,Si,Cheque Electronico,Clientes Retenidos
8627-ZYGSZ,78.9,3650.35,Masculino,No,Si,No,37-48,Si,Fibra Optica,Si,No,Si,No,No,No,Dos Años,Si,Cheque Electronico,Clientes Retenidos
3410-YOQBQ,79.2,2497.2,Femenino,No,No,No,25-36,No,DSL,Si,Si,Si,Si,Si,Si,Un Año,No,Cheque por Correo,Clientes Retenidos
3170-NMYVV,20.15,930.9,Femenino,No,Si,Si,49-60,No,No tiene Servicio Internet,Si,Sin Servicio Internet,Sin Servicio Internet,Sin Servicio Internet,Sin Servicio Internet,Sin Servicio Internet,Un Año,No,Transferencia Bancaria,Clientes Retenidos
7410-OIEDU,79.85,887.35,Masculino,No,No,No,7-12,No,Fibra Optica,Si,Si,No,No,No,No,Mes a Mes,Si,Cheque por Correo,Clientes Retenidos
2273-QCKXA,49.05,49.05,Masculino,No,No,No,1-6,No,DSL,Si,No,No,Si,No,No,Mes a Mes,No,Cheque por Correo,Clientes Retenidos
0731-EBJQB,20.4,1090.65,Femenino,No,Si,Si,49-60,No,No tiene Servicio Internet,Si,Sin Servicio Internet,Sin Servicio Internet,Sin Servicio Internet,Sin Servicio Internet,Sin Servicio Internet,Dos Años,Si,Cheque Electronico,Clientes Retenidos
1891-QRQSA,111.6,7099,Masculino,Si,Si,Si,> 60,Si,Fibra Optica,Si,Si,No,Si,Si,Si,Un Año,Si,Transferencia Bancaria,Clientes Retenidos
8028-PNXHQ,24.25,1424.6,Masculino,No,Si,Si,> 60,Si,No tiene Servicio Internet,Si,Sin Servicio Internet,Sin Servicio Internet,Sin Servicio Internet,Sin Servicio Internet,Sin Servicio Internet,Un Año,Si,Transferencia Bancaria,Clientes Retenidos
5630-AHZIL,64.5,177.4,Femenino,No,No,Si,1-6,No,DSL,Si,No,No,Si,No,Si,Mes a Mes,Si,Transferencia Bancaria,Clientes Retenidos
2673-CXQEU,110.5,6139.5,Femenino,Si,No,No,49-60,Si,Fibra Optica,Si,Si,Si,No,Si,Si,Dos Años,No,Cheque Electronico,Clientes Retenidos
6416-JNVRK,55.65,2688.85,Femenino,No,No,No,37-48,No,DSL,Si,No,No,No,No,Si,Dos Años,No,Tarjeta de Credito,Clientes Retenidos
5590-ZSKRV,54.65,482.25,Femenino,No,Si,Si,7-12,No,DSL,Si,No,Si,No,No,No,Mes a Mes,No,Cheque por Correo,Clientes Retenidos
0191-ZHSKZ,74.75,2111.3,Masculino,Si,No,No,25-36,No,DSL,Si,No,Si,No,Si,Si,Mes a Mes,Si,Cheque Electronico,Clientes Retenidos
3887-PBQAO,25.9,1216.6,Femenino,No,Si,Si,37-48,Si,No tiene Servicio Internet,Si,Sin Servicio Internet,Sin Servicio Internet,Sin Servicio Internet,Sin Servicio Internet,Sin Servicio Internet,Dos Años,Si,Tarjeta de Credito,Clientes Retenidos
5919-TMRGD,79.35,79.35,Femenino,No,No,Si,1-6,No,Fibra Optica,Si,No,No,No,Si,No,Mes a Mes,Si,Cheque Electronico,Clientes No Retenidos
8108-UXRQN,50.55,565.35,Femenino,No,Si,Si,7-12,Sin Servicio Telefonico,DSL,No,No,No,No,Si,Si,Mes a Mes,No,Cheque Electronico,Clientes Retenidos
9191-MYQKX,75.15,496.9,Femenino,No,Si,No,7-12,No,Fibra Optica,Si,Si,No,No,No,No,Mes a Mes,Si,Transferencia Bancaria,Clientes No Retenidos
9919-YLNNG,103.8,4327.5,Femenino,No,No,No,37-48,No,Fibra Optica,Si,Si,Si,Si,Si,Si,Mes a Mes,Si,Transferencia Bancaria,Clientes Retenidos
0318-ZOPWS,20.15,973.35,Femenino,No,Si,No,49-60,No,No tiene Servicio Internet,Si,Sin Servicio Internet,Sin Servicio Internet,Sin Servicio Internet,Sin Servicio Internet,Sin Servicio Internet,Un Año,Si,Transferencia Bancaria,Clientes Retenidos
4445-ZJNMU,99.3,918.75,Masculino,No,No,No,7-12,Si,Fibra Optica,Si,No,Si,No,Si,Si,Mes a Mes,Si,Tarjeta de Credito,Clientes Retenidos
4808-YNLEU,62.15,2215.45,Femenino,No,Si,No,25-36,No,DSL,Si,No,No,No,Si,No,Dos Años,Si,Transferencia Bancaria,Clientes Retenidos
1862-QRWPE,20.65,1057,Femenino,No,Si,Si,37-48,No,No tiene Servicio Internet,Si,Sin Servicio Internet,Sin Servicio Internet,Sin Servicio Internet,Sin Servicio Internet,Sin Servicio Internet,Un Año,No,Transferencia Bancaria,Clientes Retenidos
2796-NNUFI,19.95,927.1,Femenino,No,Si,Si,37-48,No,No tiene Servicio Internet,Si,Sin Servicio Internet,Sin Servicio Internet,Sin Servicio Internet,Sin Servicio Internet,Sin Servicio Internet,Un Año,Si,Cheque por Correo,Clientes Retenidos
3016-KSVCP,33.75,1009.25,Masculino,No,Si,No,25-36,Sin Servicio Telefonico,DSL,No,No,No,No,Si,No,Mes a Mes,No,Cheque por Correo,Clientes Retenidos
4767-HZZHQ,82.05,2570.2,Masculino,No,Si,Si,25-36,No,Fibra Optica,Si,Si,Si,No,No,No,Mes a Mes,No,Transferencia Bancaria,Clientes Retenidos
2424-WVHPL,74.7,74.7,Masculino,Si,No,No,1-6,No,Fibra Optica,Si,No,No,Si,No,No,Mes a Mes,No,Cheque Electronico,Clientes Retenidos
7233-PAHHL,84.0,5714.25,Masculino,No,Si,Si,> 60,Si,DSL,Si,Si,No,Si,Si,Si,Un Año,Si,Cheque por Correo,Clientes Retenidos
6067-NGCEU,111.05,7107,Femenino,No,No,No,> 60,Si,Fibra Optica,Si,Si,Si,No,Si,Si,Mes a Mes,Si,Tarjeta de Credito,Clientes Retenidos
9848-JQJTX,100.9,7459.05,Masculino,No,No,No,> 60,Si,Fibra Optica,Si,Si,Si,No,Si,Si,Un Año,Si,Transferencia Bancaria,Clientes Retenidos
8637-XJIVR,78.95,927.35,Femenino,No,No,No,7-12,Si,Fibra Optica,Si,No,No,No,No,No,Mes a Mes,Si,Cheque Electronico,Clientes No Retenidos
9803-FTJCG,66.85,4748.7,Masculino,No,Si,Si,> 60,Si,DSL,Si,No,Si,Si,No,No,Dos Años,Si,Tarjeta de Credito,Clientes Retenidos
0278-YXOOG,21.05,113.85,Masculino,No,No,No,1-6,No,No tiene Servicio Internet,Si,Sin Servicio Internet,Sin Servicio Internet,Sin Servicio Internet,Sin Servicio Internet,Sin Servicio Internet,Mes a Mes,No,Cheque por Correo,Clientes No Retenidos
3212-KXOCR,21.0,1107.2,Masculino,No,No,No,49-60,No,No tiene Servicio Internet,Si,Sin Servicio Internet,Sin Servicio Internet,Sin Servicio Internet,Sin Servicio Internet,Sin Servicio Internet,Un Año,No,Transferencia Bancaria,Clientes Retenidos
4598-XLKNJ,98.5,2514.5,Femenino,Si,Si,No,25-36,No,Fibra Optica,Si,Si,Si,No,Si,Si,Mes a Mes,Si,Cheque Electronico,Clientes No Retenidos
6380-ARCEH,20.2,20.2,Masculino,No,No,No,1-6,No,No tiene Servicio Internet,Si,Sin Servicio Internet,Sin Servicio Internet,Sin Servicio Internet,Sin Servicio Internet,Sin Servicio Internet,Mes a Mes,No,Cheque por Correo,Clientes Retenidos
3679-XASPY,19.45,19.45,Femenino,No,Si,Si,1-6,No,No tiene Servicio Internet,Si,Sin Servicio Internet,Sin Servicio Internet,Sin Servicio Internet,Sin Servicio Internet,Sin Servicio Internet,Mes a Mes,No,Cheque Electronico,Clientes Retenidos
7123-WQUHX,95.0,3605.6,Masculino,No,No,No,37-48,Si,Fibra Optica,Si,Si,No,Si,Si,No,Dos Años,No,Transferencia Bancaria,Clientes Retenidos
5386-THSLQ,45.55,3027.25,Femenino,Si,Si,No,> 60,Sin Servicio Telefonico,DSL,No,Si,Si,No,Si,No,Dos Años,No,Transferencia Bancaria,Clientes Retenidos
3192-NQECA,110.0,7611.85,Masculino,No,Si,No,> 60,Si,Fibra Optica,Si,Si,Si,Si,Si,Si,Un Año,Si,Transferencia Bancaria,Clientes No Retenidos
6180-YBIQI,24.3,100.2,Masculino,No,No,No,1-6,Sin Servicio Telefonico,DSL,No,No,No,No,No,No,Mes a Mes,No,Cheque por Correo,Clientes Retenidos
6728-DKUCO,104.15,7303.05,Femenino,No,Si,Si,> 60,Si,Fibra Optica,Si,No,Si,No,Si,Si,Dos Años,Si,Cheque Electronico,Clientes Retenidos
9750-BOOHV,30.15,927.65,Femenino,No,No,No,25-36,Sin Servicio Telefonico,DSL,No,No,No,No,No,No,Dos Años,No,Cheque por Correo,Clientes Retenidos
8597-CWYHH,94.35,3921.3,Masculino,No,No,No,37-48,Si,Fibra Optica,Si,No,No,No,Si,Si,Dos Años,No,Cheque por Correo,Clientes Retenidos
2848-YXSMW,19.4,1363.25,Masculino,No,Si,Si,> 60,No,No tiene Servicio Internet,Si,Sin Servicio Internet,Sin Servicio Internet,Sin Servicio Internet,Sin Servicio Internet,Sin Servicio Internet,Un Año,No,Tarjeta de Credito,Clientes Retenidos
0486-HECZI,96.75,5238.9,Masculino,No,Si,No,49-60,Si,Fibra Optica,Si,No,Si,No,Si,No,Mes a Mes,Si,Cheque Electronico,Clientes No Retenidos
4549-ZDQYY,57.95,3042.25,Femenino,No,No,No,49-60,No,DSL,Si,Si,No,Si,No,No,Dos Años,No,Tarjeta de Credito,Clientes Retenidos
5712-AHQNN,91.65,3954.1,Femenino,No,No,No,37-48,No,Fibra Optica,Si,Si,Si,No,Si,No,Mes a Mes,Si,Cheque Electronico,Clientes Retenidos
4846-WHAFZ,76.5,2868.15,Femenino,Si,Si,No,37-48,Si,Fibra Optica,Si,No,No,No,No,No,Mes a Mes,Si,Cheque Electronico,Clientes No Retenidos
5256-SKJGO,54.6,3423.5,Femenino,No,Si,Si,> 60,Sin Servicio Telefonico,DSL,No,No,Si,Si,Si,Si,Un Año,Si,Cheque Electronico,Clientes Retenidos
3071-VBYPO,89.85,248.4,Masculino,No,Si,Si,1-6,No,Fibra Optica,Si,No,Si,No,Si,No,Mes a Mes,No,Cheque Electronico,Clientes Retenidos
9560-BBZXK,31.05,1126.35,Femenino,No,No,No,25-36,Sin Servicio Telefonico,DSL,No,No,No,No,No,No,Un Año,No,Transferencia Bancaria,Clientes Retenidos
5299-RULOA,100.25,1064.65,Femenino,No,Si,Si,7-12,Si,Fibra Optica,Si,No,No,No,Si,Si,Mes a Mes,Si,Cheque Electronico,Clientes No Retenidos
8402-OOOHJ,20.65,835.15,Femenino,No,No,No,37-48,No,No tiene Servicio Internet,Si,Sin Servicio Internet,Sin Servicio Internet,Sin Servicio Internet,Sin Servicio Internet,Sin Servicio Internet,Un Año,No,Cheque por Correo,Clientes Retenidos
9445-ZUEQE,85.2,2151.6,Masculino,No,Si,Si,25-36,Si,Fibra Optica,Si,No,Si,Si,No,No,Mes a Mes,Si,Tarjeta de Credito,Clientes Retenidos
1091-SOZGA,99.8,5515.45,Femenino,No,Si,Si,49-60,Si,Fibra Optica,Si,Si,No,No,Si,Si,Dos Años,Si,Tarjeta de Credito,Clientes Retenidos
2928-HLDBA,20.7,112.75,Femenino,No,No,No,1-6,No,No tiene Servicio Internet,Si,Sin Servicio Internet,Sin Servicio Internet,Sin Servicio Internet,Sin Servicio Internet,Sin Servicio Internet,Mes a Mes,No,Cheque por Correo,Clientes Retenidos
0404-SWRVG,74.4,229.55,Masculino,No,No,No,1-6,Si,Fibra Optica,Si,No,No,No,No,No,Mes a Mes,Si,Cheque Electronico,Clientes No Retenidos
6497-TILVL,50.7,350.35,Femenino,No,Si,Si,7-12,No,DSL,Si,No,No,No,No,No,Mes a Mes,No,Cheque por Correo,Clientes Retenidos
7219-TLZHO,20.85,62.9,Femenino,No,Si,Si,1-6,No,No tiene Servicio Internet,Si,Sin Servicio Internet,Sin Servicio Internet,Sin Servicio Internet,Sin Servicio Internet,Sin Servicio Internet,Mes a Mes,No,Cheque por Correo,Clientes Retenidos
4622-YNKIJ,88.95,3027.65,Masculino,No,No,No,25-36,No,Fibra Optica,Si,No,No,Si,Si,No,Un Año,Si,Cheque Electronico,Clientes Retenidos
4412-YLTKF,78.05,2135.5,Femenino,Si,No,No,25-36,Si,Fibra Optica,Si,Si,No,No,No,No,Mes a Mes,Si,Cheque Electronico,Clientes No Retenidos
6734-PSBAW,23.55,1723.95,Masculino,No,Si,No,> 60,Si,No tiene Servicio Internet,Si,Sin Servicio Internet,Sin Servicio Internet,Sin Servicio Internet,Sin Servicio Internet,Sin Servicio Internet,Un Año,Si,Transferencia Bancaria,Clientes Retenidos
3930-ZGWVE,19.75,19.75,Masculino,No,No,No,1-6,No,No tiene Servicio Internet,Si,Sin Servicio Internet,Sin Servicio Internet,Sin Servicio Internet,Sin Servicio Internet,Sin Servicio Internet,Mes a Mes,No,Cheque por Correo,Clientes Retenidos
2639-UGMAZ,56.45,3985.35,Masculino,Si,No,No,> 60,Sin Servicio Telefonico,DSL,No,No,Si,No,Si,Si,Dos Años,Si,Cheque Electronico,Clientes Retenidos
2876-GZYZC,85.95,1215.65,Femenino,No,No,No,13-24,Si,Fibra Optica,Si,No,No,No,No,Si,Mes a Mes,Si,Cheque Electronico,Clientes Retenidos
6207-WIOLX,58.6,1502.65,Femenino,No,Si,Si,25-36,Sin Servicio Telefonico,DSL,No,Si,Si,No,Si,Si,Mes a Mes,Si,Tarjeta de Credito,Clientes No Retenidos
8587-XYZSF,50.55,3260.1,Masculino,No,No,No,> 60,No,DSL,Si,No,No,Si,No,No,Un Año,No,Transferencia Bancaria,Clientes Retenidos
3091-FYHKI,35.45,35.45,Masculino,No,No,No,1-6,Sin Servicio Telefonico,DSL,No,No,No,No,No,Si,Mes a Mes,Si,Cheque Electronico,Clientes No Retenidos
2372-HWUHI,44.35,81.25,Masculino,No,No,No,1-6,No,DSL,Si,No,No,No,No,No,Mes a Mes,No,Cheque Electronico,Clientes No Retenidos
7799-LGRDP,25.7,1188.2,Femenino,No,No,No,37-48,Si,No tiene Servicio Internet,Si,Sin Servicio Internet,Sin Servicio Internet,Sin Servicio Internet,Sin Servicio Internet,Sin Servicio Internet,Un Año,Si,Tarjeta de Credito,Clientes Retenidos
7850-VWJUU,75.0,1778.5,Femenino,No,No,No,13-24,No,Fibra Optica,Si,No,No,No,No,No,Mes a Mes,Si,Transferencia Bancaria,Clientes Retenidos
3774-VBNXY,20.2,1277.75,Femenino,No,Si,Si,> 60,No,No tiene Servicio Internet,Si,Sin Servicio Internet,Sin Servicio Internet,Sin Servicio Internet,Sin Servicio Internet,Sin Servicio Internet,Un Año,No,Cheque por Correo,Clientes Retenidos
6217-KDYWC,19.6,1170.55,Masculino,No,No,Si,49-60,No,No tiene Servicio Internet,Si,Sin Servicio Internet,Sin Servicio Internet,Sin Servicio Internet,Sin Servicio Internet,Sin Servicio Internet,Un Año,Si,Cheque por Correo,Clientes Retenidos
